,",Timestamp [ms],CPU cores,CPU capacity provisioned [MHZ],CPU usage [MHZ],CPU usage [%],Memory capacity provisioned [KB],Memory usage [KB],Disk read throughput [KB/s],Disk write throughput [KB/s],Network received throughput [KB/s],Network transmitted throughput [KB/s]"
1816,"1816,1376859697,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.6,0.0,1.0"
1817,"1817,1376859997,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.6,0.0,1.0"
1818,"1818,1376860297,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
1819,"1819,1376860597,4,11703.99824,70.22398944000001,0.6,67108864.0,268435.2,0.0,0.5333333333333333,0.0,1.0"
1820,"1820,1376860897,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,0.6,0.0,1.0"
1821,"1821,1376861197,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1822,"1822,1376861497,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
1823,"1823,1376861797,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
1824,"1824,1376862097,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1825,"1825,1376862397,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
1826,"1826,1376862697,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
1827,"1827,1376862997,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,0.8,0.0,1.0"
1828,"1828,1376863298,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,134217.6,0.0,1.5333333333333334,0.0,1.0"
1829,"1829,1376863598,4,11703.99824,78.02665493333335,0.6666666666666667,67108864.0,402652.8,0.0,2.533333333333333,0.0666666666666666,1.0666666666666669"
1830,"1830,1376863898,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
1831,"1831,1376864198,4,11703.99824,85.82932042666667,0.7333333333333333,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1832,"1832,1376864498,4,11703.99824,83.87865405333334,0.7166666666666667,67108864.0,0.0,0.0,1.0,0.0,0.9333333333333332"
1833,"1833,1376864798,4,11703.99824,81.92798768,0.7,67108864.0,0.0,0.0,0.5333333333333333,0.0666666666666666,1.0"
1834,"1834,1376865098,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,0.7333333333333333,0.0,1.0"
1835,"1835,1376865398,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
1836,"1836,1376865698,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
1837,"1837,1376865998,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,0.6,0.0,1.0"
1838,"1838,1376866299,4,11703.99824,78.02665493333335,0.6666666666666667,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1839,"1839,1376866599,4,11703.99824,79.97732130666667,0.6833333333333332,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
1840,"1840,1376866899,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,1.0,0.0,1.0"
1841,"1841,1376867199,4,11703.99824,79.97732130666667,0.6833333333333332,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
1842,"1842,1376867500,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,0.8,0.0,1.0"
1843,"1843,1376867801,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
1844,"1844,1376868101,4,11703.99824,81.92798768,0.7,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1845,"1845,1376868401,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
1846,"1846,1376868701,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,0.4666666666666667,0.0,1.0"
1847,"1847,1376869001,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
1848,"1848,1376869301,4,11703.99824,79.97732130666667,0.6833333333333332,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
1849,"1849,1376869601,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,0.6,0.0,1.0"
1850,"1850,1376869901,4,11703.99824,83.87865405333334,0.7166666666666667,67108864.0,0.0,0.0,0.6,0.0,1.0"
1851,"1851,1376870201,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,1.2,0.0,1.0666666666666669"
1852,"1852,1376870501,4,11703.99824,58.51999120000001,0.5,67108864.0,0.0,0.0,0.6,0.0,1.0"
1853,"1853,1376870801,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,0.9333333333333332,0.0,1.0666666666666669"
1854,"1854,1376871101,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,0.8,0.0,1.0"
1855,"1855,1376871401,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
1856,"1856,1376871701,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
1857,"1857,1376872001,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,0.5333333333333333,0.0,0.9333333333333332"
1858,"1858,1376872301,4,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0,1.0666666666666669,0.0,1.0"
1859,"1859,1376872601,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
1860,"1860,1376872901,4,11703.99824,64.37199032000001,0.55,67108864.0,134217.6,0.0,0.6,0.0,1.0"
1861,"1861,1376873201,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,0.6,0.0,1.0"
1862,"1862,1376873501,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,0.6,0.0,1.0"
1863,"1863,1376873801,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
1864,"1864,1376874101,4,11703.99824,58.51999120000001,0.5,67108864.0,0.0,0.0,0.6,0.0,1.0"
1865,"1865,1376874401,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1866,"1866,1376874701,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
1867,"1867,1376875001,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,0.7333333333333333,0.0,1.0"
1868,"1868,1376875301,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,1.2666666666666666,0.0,1.0"
1869,"1869,1376875601,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
1870,"1870,1376875901,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,0.6,0.0666666666666666,1.0"
1871,"1871,1376876201,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.6,0.0,1.0"
1872,"1872,1376876501,4,11703.99824,81.92798768,0.7,67108864.0,0.0,0.0,1.0666666666666669,0.0,1.0666666666666669"
1873,"1873,1376876801,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.6,0.0,1.0"
1874,"1874,1376877101,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.6,0.0,1.0"
1875,"1875,1376877401,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,0.6666666666666666,0.0,0.9333333333333332"
1876,"1876,1376877701,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,1.0,0.0,1.0666666666666669"
1877,"1877,1376878001,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
1878,"1878,1376878302,4,11703.99824,81.92798768,0.7,67108864.0,0.0,0.0,0.6,0.0,1.0"
1879,"1879,1376878602,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
1880,"1880,1376878902,4,11703.99824,81.92798768,0.7,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1881,"1881,1376879202,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,0.7333333333333333,0.0,1.0"
1882,"1882,1376879502,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.6,0.0,1.0"
1883,"1883,1376879802,4,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0,0.6,0.0,1.0"
1884,"1884,1376880102,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1885,"1885,1376880402,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1886,"1886,1376880702,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1887,"1887,1376881002,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.6,0.0,0.9333333333333332"
1888,"1888,1376881302,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.6,0.0,1.0"
1889,"1889,1376881602,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.4666666666666667,0.0,1.0"
1890,"1890,1376881902,4,11703.99824,78.02665493333335,0.6666666666666667,67108864.0,0.0,0.0,0.8,0.0,1.0"
1891,"1891,1376882202,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1892,"1892,1376882502,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1893,"1893,1376882802,4,11703.99824,78.02665493333335,0.6666666666666667,67108864.0,0.0,0.0,0.7333333333333333,0.0,1.0"
1894,"1894,1376883102,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,1.2,0.0,1.0666666666666669"
1895,"1895,1376883402,4,11703.99824,58.51999120000001,0.5,67108864.0,357913.6,0.0,0.5333333333333333,0.0,1.0"
1896,"1896,1376883702,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1897,"1897,1376884002,4,11703.99824,78.02665493333335,0.6666666666666667,67108864.0,0.0,0.0,0.9333333333333332,0.0,1.0666666666666669"
1898,"1898,1376884302,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,0.4666666666666667,0.0,1.0"
1899,"1899,1376884602,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.6,0.0,1.0"
1900,"1900,1376884902,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.6,0.0,1.0"
1901,"1901,1376885202,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1902,"1902,1376885502,4,11703.99824,81.92798768,0.7,67108864.0,0.0,0.0,0.6,0.0,1.0"
1903,"1903,1376885802,4,11703.99824,85.82932042666667,0.7333333333333333,67108864.0,0.0,0.0,0.4666666666666667,0.0,1.0"
1904,"1904,1376886102,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1905,"1905,1376886402,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1906,"1906,1376886702,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,0.6,0.0,1.0"
1907,"1907,1376887002,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,268435.2,0.0,0.6,0.0,1.0"
1908,"1908,1376887302,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,313174.4,0.0,0.6,0.0,1.0"
1909,"1909,1376887602,4,11703.99824,83.87865405333334,0.7166666666666667,67108864.0,0.0,0.0,0.6,0.0,1.0"
1910,"1910,1376887902,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.4666666666666667,0.0,1.0"
1911,"1911,1376888202,4,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0,0.6,0.0,1.0"
1912,"1912,1376888502,4,11703.99824,144.3493116266667,1.2333333333333334,67108864.0,223696.0,131.33333333333334,21.666666666666668,0.0,1.4"
1913,"1913,1376888802,4,11703.99824,76.07598856,0.65,67108864.0,268435.2,0.0,3.466666666666667,0.0,1.0"
1914,"1914,1376889102,4,11703.99824,78.02665493333335,0.6666666666666667,67108864.0,0.0,32.666666666666664,3.8666666666666663,0.0,1.0"
1915,"1915,1376889403,4,11703.99824,81.92798768,0.7,67108864.0,0.0,0.0,1.0666666666666669,0.0,1.0666666666666669"
1916,"1916,1376889703,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,1.0,0.0,1.0666666666666669"
1917,"1917,1376890003,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,0.5333333333333333,0.0,0.9333333333333332"
1918,"1918,1376890303,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.6,0.0,1.0"
1919,"1919,1376890603,4,11703.99824,78.02665493333335,0.6666666666666667,67108864.0,0.0,0.0,0.4666666666666667,0.0,1.0"
1920,"1920,1376890903,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1921,"1921,1376891203,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,0.7333333333333333,0.0,1.0"
1922,"1922,1376891503,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1923,"1923,1376891803,4,11703.99824,58.51999120000001,0.5,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1924,"1924,1376892103,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1925,"1925,1376892403,4,11703.99824,78.02665493333335,0.6666666666666667,67108864.0,0.0,0.0,0.8666666666666667,0.0,1.0"
1926,"1926,1376892703,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1927,"1927,1376893003,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,0.6,0.0,1.0"
1928,"1928,1376893303,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,1.0,0.0,1.0"
1929,"1929,1376893603,4,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0666666666666666,0.5333333333333333,0.0,1.0"
1930,"1930,1376893903,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1931,"1931,1376894203,4,11703.99824,79.97732130666667,0.6833333333333332,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1932,"1932,1376894503,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1933,"1933,1376894803,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,0.6,0.0,1.0"
1934,"1934,1376895103,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,1.4666666666666666,0.0,1.1333333333333333"
1935,"1935,1376895403,4,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0,0.7333333333333333,0.0,1.0"
1936,"1936,1376895703,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1937,"1937,1376896003,4,11703.99824,70.22398944000001,0.6,67108864.0,313174.4,0.0,0.5333333333333333,0.0,1.0"
1938,"1938,1376896304,4,11703.99824,64.37199032000001,0.55,67108864.0,178956.8,0.0,0.8,0.0,1.0"
1939,"1939,1376896604,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1940,"1940,1376896904,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1941,"1941,1376897204,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,0.8,0.0,1.0"
1942,"1942,1376897504,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.6,0.0,1.0"
1943,"1943,1376897804,4,11703.99824,79.97732130666667,0.6833333333333332,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1944,"1944,1376898104,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1945,"1945,1376898404,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1946,"1946,1376898704,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1947,"1947,1376899004,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,0.6,0.0,1.0"
1948,"1948,1376899304,4,11703.99824,79.97732130666667,0.6833333333333332,67108864.0,0.0,0.0666666666666666,1.1333333333333333,0.0,1.0"
1949,"1949,1376899604,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1950,"1950,1376899904,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,313174.4,0.0,0.6,0.0,1.0"
1951,"1951,1376900204,4,11703.99824,64.37199032000001,0.55,67108864.0,44739.2,0.0,0.5333333333333333,0.0,1.0"
1952,"1952,1376900504,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1953,"1953,1376900804,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,1.2,0.0666666666666666,1.0666666666666669"
1954,"1954,1376901104,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,14.2,0.0,1.0"
1955,"1955,1376901404,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,0.4,0.0,1.0"
1956,"1956,1376901704,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,0.4666666666666667,0.0,1.0"
1957,"1957,1376902004,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,0.4,0.0,1.0"
1958,"1958,1376902304,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,223696.0,0.0,0.9333333333333332,0.0666666666666666,1.0666666666666669"
1959,"1959,1376902604,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,134217.6,0.0,0.6,0.0,0.9333333333333332"
1960,"1960,1376902904,4,11703.99824,58.51999120000001,0.5,67108864.0,0.0,0.0,0.4666666666666667,0.0,1.0"
1961,"1961,1376903204,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,0.4,0.0,1.0"
1962,"1962,1376903504,4,11703.99824,81.92798768,0.7,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
1963,"1963,1376903804,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,0.3333333333333333,0.0,1.0"
1964,"1964,1376904104,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.3333333333333333,0.0,1.0"
1965,"1965,1376904404,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,0.4,0.0,1.0"
1966,"1966,1376904704,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.6,0.0,1.0"
1967,"1967,1376905004,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,0.4666666666666667,0.0,1.0"
1968,"1968,1376905304,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,0.3333333333333333,0.0,1.0"
1969,"1969,1376905604,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.4,0.0,1.0"
1970,"1970,1376905904,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,0.6,0.0,1.0"
1971,"1971,1376906204,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,1.1333333333333333,0.0,1.0666666666666669"
1972,"1972,1376906504,4,11703.99824,58.51999120000001,0.5,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
1973,"1973,1376906804,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,0.3333333333333333,0.0,1.0"
1974,"1974,1376907104,4,11703.99824,81.92798768,0.7,67108864.0,0.0,0.0,0.7333333333333333,0.0,1.0"
1975,"1975,1376907404,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,0.4,0.0,1.0"
1976,"1976,1376907704,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.3333333333333333,0.0,1.0"
1977,"1977,1376908004,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.3333333333333333,0.0,0.9333333333333332"
1978,"1978,1376908304,4,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0,1.0666666666666669,0.0,1.0666666666666669"
1979,"1979,1376908604,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,0.4,0.0,1.0"
1980,"1980,1376908904,4,11703.99824,78.02665493333335,0.6666666666666667,67108864.0,0.0,0.0,0.3333333333333333,0.0,1.0"
1981,"1981,1376909204,4,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0,0.3333333333333333,0.0,1.0"
1982,"1982,1376909504,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1983,"1983,1376909804,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1984,"1984,1376910104,4,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0,0.3333333333333333,0.0,1.0"
1985,"1985,1376910404,4,11703.99824,83.87865405333334,0.7166666666666667,67108864.0,0.0,0.0,0.3333333333333333,0.0,1.0"
1986,"1986,1376910705,4,11703.99824,81.92798768,0.7,67108864.0,0.0,0.0,0.7333333333333333,0.0,1.0"
1987,"1987,1376911005,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
1988,"1988,1376911305,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.3333333333333333,0.0,1.0"
1989,"1989,1376911605,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,0.3333333333333333,0.0,1.0"
1990,"1990,1376911905,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
1991,"1991,1376912205,4,11703.99824,79.97732130666667,0.6833333333333332,67108864.0,0.0,0.0,0.6,0.0,1.0"
1992,"1992,1376912505,4,11703.99824,78.02665493333335,0.6666666666666667,67108864.0,0.0,0.0,0.3333333333333333,0.0,1.0"
1993,"1993,1376912805,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,0.3333333333333333,0.0,1.0"
1994,"1994,1376913105,4,11703.99824,58.51999120000001,0.5,67108864.0,0.0,0.0,0.9333333333333332,0.0,1.0666666666666669"
1995,"1995,1376913405,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.6,0.0,1.0"
1996,"1996,1376913705,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.3333333333333333,0.0,1.0"
1997,"1997,1376914005,4,11703.99824,78.02665493333335,0.6666666666666667,67108864.0,0.0,8.466666666666667,3.2,0.0,1.0666666666666669"
1998,"1998,1376914305,4,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0,0.8666666666666667,0.0,1.0"
1999,"1999,1376914605,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,0.3333333333333333,0.0,1.0"
2000,"2000,1376914905,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,0.6,0.0,1.0"
2001,"2001,1376915205,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
2002,"2002,1376915505,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,134217.6,0.0,0.3333333333333333,0.0,1.0"
2003,"2003,1376915805,4,11703.99824,79.97732130666667,0.6833333333333332,67108864.0,0.0,0.0,0.3333333333333333,0.0,1.0"
2004,"2004,1376916105,4,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0,0.5333333333333333,0.0,1.0"
2005,"2005,1376916405,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,0.6,0.0,1.0"
2006,"2006,1376916705,4,11703.99824,58.51999120000001,0.5,67108864.0,0.0,0.0,0.3333333333333333,0.0,1.0"
2007,"2007,1376917005,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,0.3333333333333333,0.0,1.0"
2008,"2008,1376917305,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.4666666666666667,0.0,1.0"
2009,"2009,1376917605,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,268435.2,0.0,0.6,0.0,1.0"
2010,"2010,1376917905,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,447392.0,0.0,0.3333333333333333,0.0,1.0"
2011,"2011,1376918205,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,0.3333333333333333,0.0,1.0"
2012,"2012,1376918505,4,11703.99824,58.51999120000001,0.5,67108864.0,0.0,0.0,0.3333333333333333,0.0,1.0"
2013,"2013,1376918805,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,0.6666666666666666,0.0,1.0"
2014,"2014,1376919105,4,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0,0.3333333333333333,0.0,0.9333333333333332"
2015,"2015,1376919405,4,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0,0.9333333333333332,0.0,1.0666666666666669"
2016,"2016,1376919705,4,11703.99824,79.97732130666667,0.6833333333333332,67108864.0,0.0,0.0,1.0,0.0,1.0666666666666669"
2017,"2017,1376920005,4,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0,0.6,0.0,1.0"
2018,"2018,1376920306,4,11703.99824,58.51999120000001,0.5,67108864.0,0.0,0.0,0.3333333333333333,0.0,1.0"
2019,"2019,1376920606,4,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0,0.3333333333333333,0.0,1.0"
2020,"2020,1376920906,4,11703.99824,75.58832196666667,0.6458333333333333,67108864.0,335544.0,0.0,0.5833333333333334,0.0,1.0"
2021,"2021,1376921206,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,134217.6,0.0,0.9333333333333332,0.0,1.0"
2022,"2022,1376921506,4,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0,1.0666666666666669,0.0,1.0"
2023,"2023,1376921806,4,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0,0.3333333333333333,0.0,1.0"
2024,"2024,1376922106,4,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0,0.8,0.0,1.0"
